system:index,DetailedQA,NDVI,longitude,latitud
78,2372,0.3459,-36.48512885540117,-6.896852234261547
79,2372,0.393,-36.47607009978498,-6.896852234261547
80,2372,0.3863,-36.467011344168775,-6.896852234261547
81,2445,0.3586,-36.45795258855257,-6.896852234261547
82,2058,0.3374,-36.448893832936385,-6.896852234261547
83,2058,0.3761,-36.43983507732018,-6.896852234261547
84,2372,0.419,-36.43077632170399,-6.896852234261547
85,2372,0.4509,-36.42171756608778,-6.896852234261547
86,2372,0.3441,-36.412658810471584,-6.896852234261547
87,2372,0.2885,-36.40360005485539,-6.896852234261547
88,2441,0.3366,-36.39454129923919,-6.896852234261547
89,2441,0.3216,-36.385482543622985,-6.896852234261547
90,2372,0.3221,-36.3764237880068,-6.896852234261547
91,34888,0.3956,-36.49488093869942,-6.9058454401841445
92,34957,0.3849,-36.48582201098222,-6.9058454401841445
93,2372,0.3643,-36.47676308326503,-6.9058454401841445
94,2372,0.3894,-36.46770415554783,-6.9058454401841445
95,2372,0.3566,-36.45864522783064,-6.9058454401841445
96,35148,0.4155,-36.449586300113445,-6.9058454401841445
97,35148,0.4176,-36.44052737239625,-6.9058454401841445
98,2372,0.3943,-36.431468444679055,-6.9058454401841445
99,35217,0.2497,-36.42240951696186,-6.9058454401841445
100,2445,0.2736,-36.413350589244665,-6.9058454401841445
101,2445,0.3495,-36.40429166152747,-6.9058454401841445
102,2185,0.3573,-36.395232733810275,-6.9058454401841445
103,2185,0.3321,-36.38617380609308,-6.9058454401841445
104,2372,0.3944,-36.377114878375885,-6.9058454401841445
105,2441,0.4206,-36.36805595065869,-6.9058454401841445
106,34957,0.2832,-36.48651609182839,-6.914838646106743
107,34957,0.3099,-36.47745699178048,-6.914838646106743
108,2445,0.3509,-36.46839789173256,-6.914838646106743
109,35217,0.2721,-36.45933879168463,-6.914838646106743
110,2445,0.254,-36.450279691636716,-6.914838646106743
111,2445,0.4389,-36.44122059158879,-6.914838646106743
112,4369,0.3755,-36.432161491540874,-6.914838646106743
113,2372,0.266,-36.42310239149295,-6.914838646106743
114,2372,0.3238,-36.414043291445026,-6.914838646106743
115,2372,0.3184,-36.40498419139711,-6.914838646106743
116,2185,0.3602,-36.395925091349184,-6.914838646106743
117,2185,0.3887,-36.38686599130126,-6.914838646106743
118,3222,0.385,-36.37780689125335,-6.914838646106743
119,2186,0.3491,-36.36874779120542,-6.914838646106743
120,2186,0.3568,-36.35968869115751,-6.914838646106743
121,34957,0.4053,-36.48721109802671,-6.92383185202934
122,34957,0.3959,-36.478151825418315,-6.92383185202934
123,35148,0.323,-36.469092552809904,-6.92383185202934
124,35148,0.3232,-36.460033280201515,-6.92383185202934
125,2445,0.3262,-36.45097400759312,-6.92383185202934
126,2372,0.4483,-36.44191473498471,-6.92383185202934
127,2445,0.4169,-36.43285546237632,-6.92383185202934
128,2185,0.3487,-36.42379618976791,-6.92383185202934
129,2185,0.339,-36.41473691715951,-6.92383185202934
130,2185,0.33,-36.40567764455112,-6.92383185202934
131,2185,0.3371,-36.396618371942715,-6.92383185202934
132,2185,0.3365,-36.38755909933431,-6.92383185202934
133,2445,0.2994,-36.37849982672592,-6.92383185202934
134,2185,0.346,-36.36944055411751,-6.92383185202934
135,2185,0.3345,-36.36038128150911,-6.92383185202934
136,2185,0.3238,-36.351322008900716,-6.92383185202934
137,34961,0.3583,-36.478847584265644,-6.932825057951938
138,34961,0.3454,-36.46978813886698,-6.932825057951938
139,34961,0.3337,-36.46072869346833,-6.932825057951938
140,4110,0.2898,-36.451669248069685,-6.932825057951938
141,2185,0.3658,-36.44260980267103,-6.932825057951938
142,2185,0.43,-36.43355035727238,-6.932825057951938
143,2185,0.3428,-36.42449091187372,-6.932825057951938
144,2185,0.3214,-36.41543146647507,-6.932825057951938
145,2185,0.3255,-36.40637202107642,-6.932825057951938
146,2185,0.3231,-36.397312575677766,-6.932825057951938
147,2116,0.3172,-36.38825313027912,-6.932825057951938
