system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water,QA_snow
26,0.7701,-36.44616726483008,-6.861324397394947,regularQA,decreasing2,intermediate,yes,land,no
27,0.7754000000000001,-36.43710918685623,-6.861324397394947,regularQA,decreasing2,intermediate,yes,land,no
28,0.7205,-36.428051108882386,-6.861324397394947,regularQA,decreasing2,intermediate,yes,land,no
29,0.7062,-36.41899303090853,-6.861324397394947,goodQA,lower,low,yes,land,no
30,0.6960000000000001,-36.40993495293469,-6.861324397394947,goodQA,highest,low,no,land,no
31,0.6222,-36.400876874960844,-6.861324397394947,goodQA,highest,low,no,land,no
32,0.6013000000000001,-36.391818796987,-6.861324397394947,goodQA,highest,low,no,land,no
33,0.6888000000000001,-36.519322074546885,-6.870317603317545,regularQA,lower,intermediate,no,land,no
34,0.6775,-36.51026382537939,-6.870317603317545,regularQA,lower,intermediate,no,land,no
35,0.7665000000000001,-36.50120557621189,-6.870317603317545,goodQA,lower,low,yes,land,no
36,0.7004,-36.492147327044385,-6.870317603317545,goodQA,lower,low,yes,land,no
37,0.7978000000000001,-36.4830890778769,-6.870317603317545,regularQA,decreasing3,intermediate,yes,land,no
38,0.7238,-36.474030828709395,-6.870317603317545,regularQA,decreasing3,intermediate,yes,land,no
39,0.7339,-36.46497257954189,-6.870317603317545,regularQA,decreasing3,high,yes,land,no
40,0.7058,-36.455914330374405,-6.870317603317545,regularQA,decreasing6,high,yes,land,no
41,0.7701,-36.4468560812069,-6.870317603317545,regularQA,decreasing2,intermediate,yes,land,no
42,0.8328,-36.4377978320394,-6.870317603317545,regularQA,decreasing2,intermediate,yes,land,no
43,0.8328,-36.42873958287191,-6.870317603317545,regularQA,decreasing2,intermediate,yes,land,no
44,0.7474000000000001,-36.4196813337044,-6.870317603317545,goodQA,lower,low,yes,land,no
45,0.6988000000000001,-36.410623084536915,-6.870317603317545,goodQA,highest,low,no,land,no
46,0.6392,-36.40156483536942,-6.870317603317545,goodQA,highest,low,no,land,no
47,0.6258,-36.39250658620191,-6.870317603317545,regularQA,lower,intermediate,no,land,no
48,0.613,-36.51095476572329,-6.879310809240143,goodQA,highest,low,no,land,no
49,0.7054,-36.501896345132494,-6.879310809240143,goodQA,decreasing1,low,no,land,no
50,0.7015,-36.492837924541696,-6.879310809240143,goodQA,decreasing2,low,yes,land,no
51,0.7165,-36.483779503950906,-6.879310809240143,regularQA,decreasing3,intermediate,yes,land,no
52,0.6970000000000001,-36.47472108336011,-6.879310809240143,regularQA,decreasing4,intermediate,yes,land,no
53,0.5454,-36.46566266276931,-6.879310809240143,cloudy,decreasing4,correction,no,land,no
54,0.6546000000000001,-36.45660424217852,-6.879310809240143,regularQA,decreasing6,high,yes,land,no
55,0.625,-36.44754582158773,-6.879310809240143,cloudy,decreasing1,correction,no,land,no
56,0.6048,-36.438487400996934,-6.879310809240143,regularQA,decreasing3,high,yes,land,no
57,0.7226,-36.42942898040614,-6.879310809240143,regularQA,decreasing1,intermediate,yes,land,no
58,0.8038000000000001,-36.42037055981534,-6.879310809240143,regularQA,decreasing2,intermediate,no,land,no
59,0.7060000000000001,-36.41131213922455,-6.879310809240143,regularQA,lower,intermediate,no,land,no
60,0.7383000000000001,-36.40225371863376,-6.879310809240143,goodQA,highest,low,no,land,no
61,0.7141000000000001,-36.393195298042954,-6.879310809240143,goodQA,highest,low,no,land,no
62,0.649,-36.384136877452164,-6.879310809240143,regularQA,decreasing1,intermediate,yes,land,no
63,0.779,-36.502588039521555,-6.88830401516274,goodQA,decreasing1,low,no,land,no
64,0.7085,-36.49352944727779,-6.88830401516274,goodQA,decreasing2,low,yes,land,no
65,0.6088,-36.484470855034026,-6.88830401516274,regularQA,decreasing2,intermediate,yes,land,no
66,0.6818000000000001,-36.47541226279027,-6.88830401516274,regularQA,decreasing4,intermediate,yes,land,no
67,0.3231,-36.46635367054651,-6.88830401516274,cloudy,decreasing1,correction,no,land,no
68,0.7775000000000001,-36.45729507830276,-6.88830401516274,regularQA,decreasing4,high,yes,land,no
69,0.7583000000000001,-36.448236486059,-6.88830401516274,regularQA,decreasing4,high,yes,land,no
70,0.6895,-36.439177893815234,-6.88830401516274,cloudy,decreasing1,correction,no,land,no
71,0.5473,-36.43011930157148,-6.88830401516274,cloudy,decreasing1,correction,no,land,no
72,0.7915000000000001,-36.42106070932772,-6.88830401516274,regularQA,decreasing1,intermediate,yes,land,no
73,0.7447,-36.412002117083965,-6.88830401516274,goodQA,lower,low,yes,land,no
74,0.6313000000000001,-36.402943524840204,-6.88830401516274,goodQA,lower,low,yes,land,no
75,0.6332,-36.39388493259644,-6.88830401516274,regularQA,decreasing1,intermediate,yes,land,no
76,0.5739000000000001,-36.38482634035268,-6.88830401516274,regularQA,lower,intermediate,no,land,no
77,0.7894,-36.50328065946575,-6.8972972210853385,goodQA,highest,low,no,land,no
78,0.7084,-36.49422189533933,-6.8972972210853385,goodQA,decreasing2,low,yes,land,no
79,0.6644,-36.48516313121292,-6.8972972210853385,goodQA,decreasing2,low,yes,land,no
80,0.6588,-36.47610436708651,-6.8972972210853385,goodQA,decreasing2,low,yes,land,no
81,0.7486,-36.4670456029601,-6.8972972210853385,regularQA,decreasing3,intermediate,yes,land,no
82,0.4886,-36.45798683883369,-6.8972972210853385,cloudy,decreasing5,correction,no,land,no
83,0.7489,-36.44892807470728,-6.8972972210853385,cloudy,decreasing2,correction,no,land,no
84,0.4493,-36.43986931058087,-6.8972972210853385,cloudy,decreasing2,correction,no,land,no
85,0.4046,-36.43081054645446,-6.8972972210853385,cloudy,decreasing1,correction,no,land,no
86,0.7592,-36.42175178232804,-6.8972972210853385,regularQA,decreasing1,intermediate,yes,land,no
87,0.6396000000000001,-36.41269301820164,-6.8972972210853385,goodQA,lower,low,yes,land,no
88,0.5311,-36.40363425407523,-6.8972972210853385,goodQA,lower,low,yes,land,no
89,0.7666000000000001,-36.394575489948814,-6.8972972210853385,regularQA,decreasing4,intermediate,yes,land,no
90,0.7729,-36.3855167258224,-6.8972972210853385,regularQA,decreasing4,intermediate,yes,land,no
91,0.6256,-36.37645796169599,-6.8972972210853385,regularQA,decreasing1,intermediate,yes,land,no
92,0.6911,-36.49491526881312,-6.906290427007936,regularQA,decreasing2,intermediate,yes,land,no
93,0.7333000000000001,-36.48585633257435,-6.906290427007936,goodQA,decreasing2,low,yes,land,no
94,0.7101000000000001,-36.476797396335584,-6.906290427007936,goodQA,decreasing2,low,yes,land,no
95,0.7245,-36.467738460096804,-6.906290427007936,regularQA,decreasing1,intermediate,yes,land,no
96,0.7524000000000001,-36.45867952385804,-6.906290427007936,regularQA,decreasing1,intermediate,yes,land,no
97,0.6839000000000001,-36.449620587619265,-6.906290427007936,regularQA,decreasing3,intermediate,yes,land,no
98,0.1651,-36.44056165138049,-6.906290427007936,cloudy,decreasing1,correction,no,land,no
99,0.163,-36.43150271514172,-6.906290427007936,cloudy,decreasing2,correction,no,land,no
100,0.6737000000000001,-36.42244377890294,-6.906290427007936,regularQA,decreasing1,intermediate,yes,land,no
101,0.7311000000000001,-36.41338484266417,-6.906290427007936,regularQA,decreasing1,intermediate,yes,land,no
102,0.5822,-36.4043259064254,-6.906290427007936,cloudy,decreasing8,high,yes,land,no
103,0.7591,-36.39526697018662,-6.906290427007936,regularQA,decreasing4,intermediate,yes,land,no
104,0.7572,-36.386208033947845,-6.906290427007936,regularQA,decreasing4,intermediate,yes,land,no
105,0.6704,-36.37714909770908,-6.906290427007936,regularQA,decreasing1,intermediate,yes,land,no
106,0.7101000000000001,-36.3680901614703,-6.906290427007936,regularQA,decreasing1,intermediate,yes,land,no
107,0.7240000000000001,-36.48655045920521,-6.915283632930533,goodQA,decreasing2,low,yes,land,no
